BENCH;backend;size;block_size;iterations;thread;gpus;time
nbody;PARALLEL_BACK_STARPU;131072;2048;5;25;3;24.49254500
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;24;4;5.96390390
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;23;2;9.73595142
nbody;PARALLEL_BACK_STARPU;98304;2048;5;24;2;16.30790500
nbody;PARALLEL_BACK_STARPU;98304;2048;5;24;3;11.14149600
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;25;2;7.58688211
nbody;PARALLEL_BACK_STARPU;114688;2048;5;26;1;26.43099700
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;24;1;5.84109688
nbody;PARALLEL_BACK_STARPU;114688;2048;5;25;1;26.71024700
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;25;3;12.77432919
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;22;2;12.07929230
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;25;1;16.15051270
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;4;7.85348177
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;3;11.34382900
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;25;2;7.77482891
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;22;1;16.66674423
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;25;3;7.67624998
nbody;PARALLEL_BACK_STARPU;131072;2048;5;25;1;30.34480100
nbody;PARALLEL_BACK_STARPU;114688;2048;5;22;3;17.38963400
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;22;2;7.83257198
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;25;3;7.75895309
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;25;2;8.34986877
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;2;6.26688623
nbody;PARALLEL_BACK_STARPU;131072;2048;5;23;1;31.50959700
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;2;7.90568781
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;25;1;15.81055641
nbody;PARALLEL_BACK_STARPU;114688;2048;5;25;1;27.00955200
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;26;1;15.81147575
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;23;4;6.40435791
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;26;2;7.31575918
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;22;3;9.99208546
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;2;7.30134700
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;1;8.73974323
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;23;3;6.74635506
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;23;2;12.03443432
nbody;PARALLEL_BACK_STARPU;131072;2048;5;27;1;29.63314600
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;23;3;8.17793274
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;2;7.30012900
nbody;PARALLEL_BACK_STARPU;98304;2048;5;25;2;15.09978600
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;24;2;9.64689827
nbody;PARALLEL_BACK_STARPU;114688;2048;5;24;4;13.30758900
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;23;1;16.20709610
nbody;PARALLEL_BACK_STARPU;65536;2048;5;26;1;7.25074900
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;1;22.57230100
nbody;PARALLEL_BACK_STARPU;131072;2048;5;22;1;35.88271000
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;23;1;5.78303480
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;4;6.12234306
nbody;PARALLEL_BACK_STARPU;114688;2048;5;23;4;12.73904200
nbody;PARALLEL_BACK_STARPU;98304;2048;5;23;2;17.39321800
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;25;3;9.57721615
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;1;30.10904000
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;22;3;5.50157881
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;26;2;11.65527058
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;25;2;8.25302410
nbody;PARALLEL_BACK_STARPU;114688;2048;5;22;4;12.85999800
nbody;PARALLEL_BACK_STARPU;131072;2048;5;23;2;31.72673400
nbody;PARALLEL_BACK_STARPU;114688;2048;5;22;2;27.56750900
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;4;9.42518330
nbody;PARALLEL_BACK_STARPU;81920;2048;5;24;4;9.27281500
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;23;3;6.71634912
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;25;3;9.59056473
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;23;1;13.29429913
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;27;1;10.71236515
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;25;1;10.60173893
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;4;6.88216200
nbody;PARALLEL_BACK_STARPU;81920;2048;5;25;2;9.08248000
nbody;PARALLEL_BACK_STARPU;131072;2048;5;23;1;32.63708900
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;24;1;16.13992310
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;25;2;11.27052116
nbody;PARALLEL_BACK_STARPU;98304;2048;5;25;3;11.12343000
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;2;7.27291700
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;22;1;6.04694700
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;22;4;6.02231693
nbody;PARALLEL_BACK_STARPU;98304;2048;5;23;3;10.97215100
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;3;11.38462600
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;22;3;4.10380983
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;4;18.65321800
nbody;PARALLEL_BACK_STARPU;65536;2048;5;26;1;7.25343000
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;4;7.63365889
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;26;2;12.61046505
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;3;5.25135708
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;25;1;13.08829117
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;25;1;16.00801277
nbody;PARALLEL_BACK_STARPU;65536;2048;5;22;2;7.35273000
nbody;PARALLEL_BACK_STARPU;114688;2048;5;22;4;12.79380400
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;2;6.24980783
nbody;PARALLEL_BACK_STARPU;65536;2048;5;26;2;7.56435600
nbody;PARALLEL_BACK_STARPU;98304;2048;5;24;3;11.11439400
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;24;4;6.33652687
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;22;1;8.57893276
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;27;1;5.97687006
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;23;3;4.34015608
nbody;PARALLEL_BACK_STARPU;131072;2048;5;23;4;18.23881200
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;3;5.11746979
nbody;PARALLEL_BACK_STARPU;81920;2048;5;26;1;14.65248500
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;4;6.94579300
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;1;10.75013065
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;2;6.17676115
nbody;PARALLEL_BACK_STARPU;131072;2048;5;26;1;30.89623400
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;26;1;8.40059090
nbody;PARALLEL_BACK_STARPU;114688;2048;5;23;3;17.06607200
nbody;PARALLEL_BACK_STARPU;114688;2048;5;24;2;25.90954100
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;26;2;7.24187708
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;22;3;3.99448204
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;22;4;6.62263203
nbody;PARALLEL_BACK_STARPU;114688;2048;5;25;3;16.05224800
nbody;PARALLEL_BACK_STARPU;131072;2048;5;22;1;36.83257700
nbody;PARALLEL_BACK_STARPU;114688;2048;5;25;2;25.19146400
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;27;1;8.76023388
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;4;7.28176212
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;1;30.59864600
nbody;PARALLEL_BACK_STARPU;114688;2048;5;26;1;26.99063100
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;3;6.64214897
nbody;PARALLEL_BACK_STARPU;114688;2048;5;23;2;25.80414900
nbody;PARALLEL_BACK_STARPU;98304;2048;5;27;1;23.42637700
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;4;6.11697388
nbody;PARALLEL_BACK_STARPU;131072;2048;5;26;1;30.30060400
nbody;PARALLEL_BACK_STARPU;131072;2048;5;22;4;18.06829200
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;22;3;6.69188213
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;4;6.86844600
nbody;PARALLEL_BACK_STARPU;114688;2048;5;24;2;25.95540600
nbody;PARALLEL_BACK_STARPU;65536;2048;5;27;1;7.24514000
nbody;PARALLEL_BACK_STARPU;65536;2048;5;22;3;7.35453700
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;24;2;4.82170677
