BENCH;backend;size;block_size;iterations;thread;gpus;time
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;14;1;11.94944668
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;10;2;8.26568222
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;24;0;21.72488300
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;20;3;12.06819200
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;4;0;160.31317139
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;20;2;8.08726692
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;16;3;7.11831713
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;4;3;7.58681300
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;12;0;43.25035200
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;14;4;7.17305400
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;2;4;14.48353600
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;12;0;55.20783997
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;22;4;9.36593300
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;20;1;11.29373932
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;26;1;10.82750320
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;18;2;8.12371731
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;6;1;14.29251900
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;18;4;11.01575200
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;16;2;8.08761311
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;0;4;6.92965412
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;4;0;129.67496800
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;2;1;14.03757858
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;12;4;6.61099500
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;12;1;11.99723816
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;28;2;14.26634216
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;20;3;8.01620400
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;20;0;23.45254700
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;2;3;7.58933300
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;22;2;16.59421300
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;0;1;18.59274400
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;14;4;11.11605000
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;6;0;86.48414700
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;26;4;11.52422800
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;12;3;15.22511600
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;20;0;32.61383057
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;26;1;10.74127769
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;26;4;77.22524000
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;24;2;15.87826900
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;16;2;9.02324900
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;18;2;19.66474400
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;20;3;6.70089102
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;16;3;7.71387500
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;2;4;7.19301891
